ID,Class,Teacher,Subject,item1,item2,item3,item4,item5,Score
S139,E,T05,Reading,78,66,43,35,32,35
S140,E,T05,Reading,72,71,77,73,70,73
S141,E,T05,Reading,42,97,99,98,96,99
S142,E,T05,Reading,74,66,50,65,62,65
S143,E,T05,Reading,42,73,82,75,72,75
S144,E,T05,Reading,62,87,76,89,86,89
S145,E,T05,Reading,72,66,86,83,80,83
S146,E,T05,Reading,58,89,94,91,88,91
S147,E,T05,Reading,62,71,75,73,70,73
S148,E,T05,Reading,54,66,58,57,54,57
S149,E,T05,Reading,72,67,62,69,66,69
S150,E,T05,Reading,80,47,58,49,46,49
S151,E,T05,Reading,66,66,68,75,72,75
S152,E,T05,Reading,54,55,66,57,54,57
S153,F,T05,Reading,80,83,74,85,82,85
S154,F,T05,Reading,56,66,77,85,82,85
S155,F,T05,Reading,40,61,60,63,60,63
S156,F,T05,Reading,50,67,79,69,66,69
S157,F,T05,Reading,82,66,88,87,84,87
S158,F,T05,Reading,76,79,94,81,78,81
S159,F,T05,Reading,78,83,82,85,82,85
S160,F,T05,Reading,55,66,55,49,46,49
S161,F,T05,Reading,54,71,80,73,70,73
S162,F,T05,Reading,65,49,44,51,48,51
S163,F,T05,Reading,62,66,77,73,70,73
S164,F,T05,Reading,58,61,67,63,60,63
S165,F,T05,Reading,68,45,56,47,44,47
S166,F,T05,Reading,48,66,67,63,60,63
S167,F,T05,Reading,74,65,62,67,64,67
S168,F,T05,Reading,64,41,66,43,40,43
S169,F,T05,Reading,60,66,44,37,34,37
S170,F,T05,Reading,80,66,62,55,52,55
S171,F,T05,Reading,72,77,94,79,76,79
S172,F,T05,Reading,67,77,92,79,76,79
S173,F,T05,Reading,82,66,80,89,86,89
S174,F,T05,Reading,82,67,55,69,66,69
S175,F,T05,Reading,80,65,76,67,64,67
S176,F,T05,Reading,44,66,44,43,40,43
S177,F,T05,Reading,46,45,44,47,44,47
S178,F,T05,Reading,66,61,55,63,60,63
S179,F,T05,Reading,70,66,33,27,24,27
S180,F,T05,Reading,90,79,89,81,78,81
S181,F,T05,Reading,62,65,66,67,64,67
S182,F,T05,Reading,80,66,67,55,52,55
S183,F,T05,Reading,92,49,56,51,48,51
S184,F,T05,Reading,88,97,89,98,96,99
S185,F,T05,Reading,55,66,49,51,46,49
S186,F,T05,Reading,92,73,75,77,72,75
S187,F,T05,Reading,80,53,51,57,52,55
S188,F,T05,Reading,86,66,78,89,84,87
S189,G,T05,Reading,76,71,77,75,70,73
S190,G,T05,Reading,55,53,77,57,52,55
S191,G,T05,Reading,44,66,45,43,38,41
S192,G,T05,Reading,67,59,66,63,58,61
S193,G,T05,Reading,53,73,89,77,72,75
S194,G,T05,Reading,57,66,78,83,78,81
S195,G,T05,Reading,49,45,54,49,44,47
S196,G,T05,Reading,67,37,57,41,36,39
S197,G,T05,Reading,75,66,77,89,84,87
S198,G,T05,Reading,61,91,90,95,90,93
S199,G,T05,Reading,88,95,89,99,96,97
S200,G,T05,Reading,75,66,71,65,62,63
S201,G,T05,Reading,78,87,81,91,88,89
S202,G,T05,Reading,35,51,56,55,52,53
S203,G,T05,Reading,78,66,89,89,86,87
S204,G,T05,Reading,88,89,90,93,90,91
S205,G,T05,Reading,71,67,68,71,68,69
S206,G,T05,Reading,49,66,54,51,48,49
S207,G,T05,Reading,89,71,67,75,72,73
S208,G,T05,Reading,49,55,65,59,56,57
S209,G,T05,Reading,73,66,80,83,80,81
S210,G,T05,Reading,57,73,86,77,74,75
S211,G,T05,Reading,53,43,55,47,44,45
S212,G,T05,Reading,63,66,86,79,76,77
S213,G,T05,Reading,43,43,45,47,44,45
S214,G,T05,Reading,69,63,67,67,64,65
S215,G,T05,Reading,67,66,77,77,74,75
S216,G,T05,Reading,55,59,57,63,60,61
S217,G,T05,Reading,75,63,56,67,64,65
S218,G,T05,Reading,67,66,67,59,56,57
S219,G,T05,Reading,89,73,75,77,74,75
S220,G,T05,Reading,77,81,80,85,82,83
S221,G,T05,Reading,77,66,64,71,68,69
S222,G,T05,Reading,55,55,55,59,56,57
S223,G,T05,Reading,77,81,91,85,82,83
S224,G,T05,Reading,41,66,69,61,58,59
S225,G,T05,Reading,66,41,49,45,42,43
S226,G,T05,Reading,65,51,73,55,52,53
