ID,Class,Teacher,Subject,item1,item2,item3,item4,item5,Pass/Fail
S110,D,T06,Literature,78,93,92,97,92,Pass
S111,D,T06,Literature,77,83,89,87,82,Pass
S112,D,T06,Literature,52,55,66,67,62,Fail
S113,D,T06,Literature,78,97,84,100,96,Pass
S114,D,T06,Literature,96,77,90,81,76,Pass
S115,D,T06,Literature,88,55,94,93,88,Pass
S116,D,T06,Literature,72,91,91,95,90,Pass
S117,D,T06,Literature,67,81,86,85,80,Pass
S118,D,T06,Literature,84,55,77,85,80,Pass
S119,E,T05,Literature,70,49,56,53,48,Fail
S120,E,T05,Literature,52,73,88,77,72,Pass
S121,E,T05,Literature,38,55,66,59,54,Fail
S122,E,T05,Literature,87,89,88,93,88,Pass
S123,E,T05,Literature,72,71,70,75,70,Pass
S124,E,T05,Literature,78,66,83,87,82,Pass
S125,E,T05,Literature,44,49,56,53,48,Fail
S126,E,T05,Literature,36,55,45,59,54,Fail
S127,E,T05,Literature,84,66,78,89,84,Pass
S128,E,T05,Literature,90,77,74,79,76,Pass
S129,E,T05,Literature,94,75,73,77,74,Pass
S130,E,T05,Literature,60,66,62,71,68,Pass
S131,E,T05,Literature,86,71,72,73,70,Pass
S132,E,T05,Literature,66,71,71,73,70,Pass
S133,E,T05,Literature,84,66,62,67,64,Fail
S134,E,T05,Literature,88,71,78,73,70,Pass
S135,E,T05,Literature,66,67,72,69,66,Fail
S136,E,T05,Literature,46,66,80,71,68,Pass
S137,E,T05,Literature,70,71,66,73,70,Pass
S138,E,T05,Literature,54,67,67,69,66,Fail
S139,E,T05,Literature,78,66,43,35,32,Fail
S140,E,T05,Literature,72,71,77,73,70,Pass
S141,E,T05,Literature,42,97,99,98,96,Pass
S142,E,T05,Literature,74,66,50,65,62,Fail
S143,E,T05,Literature,42,73,82,75,72,Pass
S144,E,T05,Literature,62,87,76,89,86,Pass
S145,E,T05,Literature,72,66,86,83,80,Pass
S146,E,T05,Literature,58,89,94,91,88,Pass
S147,E,T05,Literature,62,71,75,73,70,Pass
S148,E,T05,Literature,54,66,58,57,54,Fail
S149,E,T05,Literature,72,67,62,69,66,Fail
S150,E,T05,Literature,80,47,58,49,46,Fail
S151,E,T05,Literature,66,66,68,75,72,Pass
S152,E,T05,Literature,54,55,66,57,54,Fail
S153,F,T05,Literature,80,83,74,85,82,Pass
S154,F,T05,Literature,56,66,77,85,82,Pass
S155,F,T05,Literature,40,61,60,63,60,Fail
S156,F,T05,Literature,50,67,79,69,66,Fail
S157,F,T05,Literature,82,66,88,87,84,Pass
S158,F,T05,Literature,76,79,94,81,78,Pass
S159,F,T05,Literature,78,83,82,85,82,Pass
S160,F,T05,Literature,55,66,55,49,46,Fail
S161,F,T05,Literature,54,71,80,73,70,Pass
S162,F,T05,Literature,65,49,44,51,48,Fail
S163,F,T05,Literature,62,66,77,73,70,Pass
S164,F,T05,Literature,58,61,67,63,60,Fail
S165,F,T05,Literature,68,45,56,47,44,Fail
S166,F,T05,Literature,48,66,67,63,60,Fail
S167,F,T05,Literature,74,65,62,67,64,Fail
S168,F,T05,Literature,64,41,66,43,40,Fail
S169,F,T05,Literature,60,66,44,37,34,Fail
S170,F,T05,Literature,80,66,62,55,52,Fail
S171,F,T05,Literature,72,77,94,79,76,Pass
S172,F,T05,Literature,67,77,92,79,76,Pass
S173,F,T05,Literature,82,66,80,89,86,Pass
S174,F,T05,Literature,82,67,55,69,66,Fail
S175,F,T05,Literature,80,65,76,67,64,Fail
S176,F,T05,Literature,44,66,44,43,40,Fail
S177,F,T05,Literature,46,45,44,47,44,Fail
S178,F,T05,Literature,66,61,55,63,60,Fail
S179,F,T05,Literature,70,66,33,27,24,Fail
S180,F,T05,Literature,90,79,89,81,78,Pass
S181,F,T05,Literature,62,65,66,67,64,Fail
S182,F,T05,Literature,80,66,67,55,52,Fail
S183,F,T05,Literature,92,49,56,51,48,Fail
S184,F,T05,Literature,88,97,89,98,96,Pass
S185,F,T05,Literature,55,66,49,51,46,Fail
S186,F,T05,Literature,92,73,75,77,72,Pass
S187,F,T05,Literature,80,53,51,57,52,Fail
S188,F,T05,Literature,86,66,78,89,84,Pass
S189,G,T05,Literature,76,71,77,75,70,Pass
S190,G,T05,Literature,55,53,77,57,52,Fail
S191,G,T05,Literature,44,66,45,43,38,Fail
S192,G,T05,Literature,67,59,66,63,58,Fail
S193,G,T05,Literature,53,73,89,77,72,Pass
S194,G,T05,Literature,57,66,78,83,78,Pass
S195,G,T05,Literature,49,45,54,49,44,Fail
S196,G,T05,Literature,67,37,57,41,36,Fail
S197,G,T05,Literature,75,66,77,89,84,Pass
S198,G,T05,Literature,61,91,90,95,90,Pass
S199,G,T05,Literature,88,95,89,99,96,Pass
S200,G,T05,Literature,75,66,71,65,62,Fail
S201,G,T05,Literature,78,87,81,91,88,Pass
S202,G,T05,Literature,35,51,56,55,52,Fail
S203,G,T05,Literature,78,66,89,89,86,Pass
S204,G,T05,Literature,88,89,90,93,90,Pass
S205,G,T05,Literature,71,67,68,71,68,Fail
S206,G,T05,Literature,49,66,54,51,48,Fail
S207,G,T05,Literature,89,71,67,75,72,Pass
S208,G,T05,Literature,49,55,65,59,56,Fail
S209,G,T05,Literature,73,66,80,83,80,Pass
S210,G,T05,Literature,57,73,86,77,74,Fail
S211,G,T05,Literature,53,43,55,47,44,Fail
S212,G,T05,Literature,63,66,86,79,76,Pass
S213,G,T05,Literature,43,43,45,47,44,Fail
S214,G,T05,Literature,69,63,67,67,64,Fail
S215,G,T05,Literature,67,66,77,77,74,Pass
S216,G,T05,Literature,55,59,57,63,60,Fail
S217,G,T05,Literature,75,63,56,67,64,Fail
S218,G,T05,Literature,67,66,67,59,56,Fail
S219,G,T05,Literature,89,73,75,77,74,Pass
S220,G,T05,Literature,77,81,80,85,82,Pass
S221,G,T05,Literature,77,66,64,71,68,Fail
S222,G,T05,Literature,55,55,55,59,56,Fail
S223,G,T05,Literature,77,81,91,85,82,Pass
S224,G,T05,Literature,41,66,69,61,58,Fail
S225,G,T05,Literature,66,41,49,45,42,Fail
S226,G,T05,Literature,65,51,73,55,52,Fail
